Designator,Part,Digikey ID,Quantity
"C1, C4, C6, C8",0.1uF,490-5369-ND,4
C2,1nF,490-3815-ND,1
C3,0.022uF 630V,445-2642-ND,1
"C5, C7",47uF,P13464-ND,2
C9,0.47uF 200V,490-4819-ND,1
"D1, D2, D3, D4, D10, D13, D15",3mm LED,754-1606-ND,7
D9,IR LED,751-1203-ND,1
"D5, D6, D7, D8, D11, D12, D14",1N4004,641-1311-1-ND,7
F1,5mm fuse,F2460-ND,1
XF1,5mm fuse holder,F4189-ND,2
IC1,ATMEGA328P,ATMEGA328P-PU-ND,1
"J1, J2",8P8C,609-1046-ND,2
"JP1, XD9",2 pin header,A34253-40-ND,4
"P1, P2, P3, P4, P5, P6, P7, P8, P9",5mm screw terminal,ED2600-ND,9
P10,2x3 pin header,A34344-40-ND,3
P14,6 pin header,A34253-40-ND,6
"Q1, Q2, Q3, Q4",IRF510,IRF510PBF-ND,4
Q5,2N3904,2N3904FS-ND,1
"R1, R2, R3, R4, R11, R12, R13, R14, R17, R18, R26",1k,1.0KQBK-ND,11
R5,100 1/2W,100H-ND,1
R6,120R,120QBK-ND,1
"R7, R8, R9, R10, R15, R16, R21, R25",10k,10KQBK-ND,8
R19,1M,CF14JT1M00CT-ND,1
R20,47k,47QBK-ND,1
R22,2.2k,2.2QBK-ND,1
R23,300k,300QBK-ND,1
R24,47 1W,47WCT-ND,1
R27,1k 1/2W,1.0KH-ND,1
SW1,push button,SW400-ND,1
"U1, U2, U3, U4, U8",4N35,516-1557-5-ND,5
"XU1, XU2, XU3, XU4, XU8",6-DIP holder,A100203-ND,5
U5,MAX485,296-1739-5-ND,1
U6,S108T02,425-2396-5-ND,1
U7,LM358N,LM358NFS-ND,1
U9,LM7805,LM7805CT-ND,1
Y1,16MHz,490-1214-ND,1